date,RMM1,RMM2,phase,amplitude
1990-11-21,-1.430073161389702,1.210040573188268,8.0,1.8733145586603785
1990-11-22,-1.596130064963763,0.9316519629439626,8.0,1.8481359701976923
1990-11-23,-1.49638073495592,0.6351377615857879,8.0,1.6255938238500491
1990-11-24,-1.5960314065748138,0.552634759049393,8.0,1.6890001266082721
1990-11-25,-1.1782351139988232,0.47250572624275794,8.0,1.269448559490307
1990-11-26,-1.0659085915609643,0.47437605337989325,8.0,1.1667020894743276
1990-11-27,-0.9114827099143064,0.37854359773365504,8.0,0.9869630113929634
1990-11-28,-0.8114935110011884,0.45693733653421076,8.0,0.9312966487194155
1990-11-29,-0.850225178805902,0.5201177553075514,8.0,0.9966972128292995
1990-11-30,-0.7517784128440609,0.9554051447562293,7.0,1.2157178014017096
1990-12-01,-1.119697851239695,0.9035662468023675,8.0,1.4388034057616441
1990-12-02,-1.3369025295595662,0.6866548557540658,8.0,1.5029315568160129
1990-12-03,-1.6726467960305782,0.4102628050059527,8.0,1.7222261388803477
1990-12-04,-2.050152740645164,0.2211286634507359,8.0,2.0620436818298455
1990-12-05,-2.059690900012322,-0.09631041784645844,1.0,2.0619413910631232
1990-12-06,-2.016129559759722,-0.293696324404274,1.0,2.037409122563633
1990-12-07,-2.2030168948438287,-0.8489562701103751,1.0,2.3609341768730157
1990-12-08,-2.310916382842263,-1.2526642242054407,1.0,2.6285931954361037
1990-12-09,-1.7957987014485846,-1.6290572232395497,1.0,2.4246072697889396
1990-12-10,-1.3452211988895464,-1.8689259907811349,2.0,2.3027167504838877
1990-12-11,-1.2268693337801755,-2.0653901506907566,2.0,2.402299905661364
1990-12-12,-1.0210082890224454,-1.9551441423999758,2.0,2.205685050911276
1990-12-13,-0.6703641013025892,-2.0891114661058734,2.0,2.1940316192184333
1990-12-14,-0.1536958987062229,-2.142374881155575,2.0,2.14788094658095
1990-12-15,0.22777259828593288,-1.8935701143695816,3.0,1.907220001615848
1990-12-16,0.23225621637121052,-1.3523854437472589,3.0,1.3721841489036888
1990-12-17,0.7995171797103138,-1.1134439144817936,3.0,1.3707607637178976
1990-12-18,0.8240675945064183,-0.4384421991995401,4.0,0.9334446755724326
1990-12-19,0.49340203538928795,0.010993945658181552,5.0,0.4935245033100456
1990-12-20,0.5158527005850292,0.35911451922951576,5.0,0.6285437507622791
1990-12-21,0.6435965727440311,0.5106521928229125,5.0,0.8215730098309657
1990-12-22,0.1092253610876747,0.5537993810586969,6.0,0.5644678325340857
1990-12-23,0.012994834550033018,0.7393581054193055,6.0,0.739472294122104
1990-12-24,-0.24439425339715753,0.93415209329438,7.0,0.9655924008088641
1990-12-25,-0.3451076208612137,0.8062356297298731,7.0,0.8769921097834417
1990-12-26,-0.5810160616378597,0.9916996857450616,7.0,1.14936849208077
1990-12-27,-0.5540118019875149,0.8190754761270053,7.0,0.9888446350838608
1990-12-28,-0.6920917473089994,0.8637729061277207,7.0,1.1068399252166286
1990-12-29,-0.8945997576316059,0.8181299147613735,8.0,1.2122892739696993
1990-12-30,-0.5731940138017598,0.7022839667838306,7.0,0.9065065622817104
1990-12-31,-0.45402381818419374,0.5751640063538315,7.0,0.7327695829410116
1991-01-01,-0.2593541586611936,0.4012738373878751,7.0,0.4777920804982502
1991-01-02,-0.29501227013065967,0.3927774569013744,7.0,0.49122944758794373
1991-01-03,-0.23584305687776067,0.38018095541836033,7.0,0.44739189346730895
1991-01-04,-0.287329143370128,0.32947144479644863,7.0,0.43716069078323005
1991-01-05,-0.07034641623481627,0.12725183897103134,7.0,0.1454016808657703
1991-01-06,-0.04967221758808165,-0.2652930883981433,2.0,0.2699032270128366
1991-01-07,0.17238495306058418,-0.27376109624238515,3.0,0.32351462077861687
1991-01-08,0.23125780900291923,-0.022977536220257406,4.0,0.2323965176064046
1991-01-09,0.28079028918988713,0.09871852341772618,5.0,0.29763825924957393
