year,chinese_code,name,landfall_time,landfall_lat,landfall_lon,landfall_wind_speed,landfall_pressure,landfall_wind_category,max_wind,max_wind_category,landfall_date,month,date,RMM1,RMM2,phase,amplitude,formation_region,typhoon_category,landfall_region
1984,8402,Wynne,1984-06-25 12:00:00,21.44099170212465,111.31305808512744,30.0,970.0,1,30.0,1,1984-06-25,6,1984-06-25,0.4809576827271294,1.764388824223203,6.0,1.8287668565506063,North WNP,Storms,south China
1984,8403,Alex,1984-07-03 06:00:00,23.228791957660132,121.40890100529248,30.0,985.0,1,35.0,2,1984-07-03,7,1984-07-03,-0.4785064268619148,1.3563131851629933,7.0,1.43824679968187,South WNP,TCs,south China
1984,8404,Betty,1984-07-09 06:00:00,21.613286169952428,111.73837460129162,25.0,985.0,1,30.0,1,1984-07-09,7,1984-07-09,-1.0855684625951485,-0.3377210459048304,1.0,1.1368880295914134,South WNP,Storms,south China
1984,8406,Ed,1984-07-31 18:00:00,32.686550286769936,120.8985369981526,25.0,988.0,1,55.0,3,1984-07-31,7,1984-07-31,-0.9309532326606936,0.6143849229621465,8.0,1.115411473387556,North WNP,TCs,east/north China
1984,8407,Freda,1984-08-07 06:00:00,24.856512913756955,121.82615314682285,25.0,985.0,1,30.0,1,1984-08-07,8,1984-08-07,0.9981461074506116,1.1239444766871671,6.0,1.5031789110064038,South WNP,Storms,east/north China
1984,8408,Gerald,1984-08-21 06:00:00,22.148499103700637,114.34909946222038,15.0,990.0,0,30.0,1,1984-08-21,8,1984-08-21,0.7453919943167988,0.9326045547711452,6.0,1.1938846178636615,South China Sea,Storms,south China
1985,8503,(nameless),1985-06-20 00:00:00,18.605917272353555,110.1881654552929,10.0,996.0,0,20.0,1,1985-06-20,6,1985-06-20,1.7848785348007363,0.6036130851688729,5.0,1.8841815572230585,South China Sea,Storms,south China
1985,8504,Hal,1985-06-24 06:00:00,22.79367791113867,115.31329026110768,25.0,975.0,1,40.0,2,1985-06-24,6,1985-06-24,0.9356850151024182,1.6301731783464144,6.0,1.879619918730184,Open WNP,TCs,south China
1985,8521,Dot,1985-10-21 00:00:00,18.198981931538363,109.61018068461637,40.0,970.0,2,70.0,3,1985-10-21,10,1985-10-21,0.0043007234722657,1.7639046888582504,6.0,1.7639099318271627,Open WNP,TCs,south China
1986,8609,(nameless),1986-07-20 18:00:00,20.345598645277423,110.45440135472258,20.0,996.0,1,20.0,1,1986-07-20,7,1986-07-20,0.5602537429264515,0.9488838864056056,6.0,1.1019368794732776,South China Sea,Storms,south China
1986,8613,(nameless),1986-08-10 18:00:00,18.97955408334661,110.5102229583267,12.0,995.0,0,20.0,1,1986-08-10,8,1986-08-10,0.2823848164306331,1.548084196314194,6.0,1.573628248166741,South China Sea,Storms,south China
